,age,marital,education,default,housing,loan,contact,month,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,y,pcall,age2,young_student,rejecter,old_retired,is_mon_fri
23,41,0,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
24,37,1,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
25,35,1,2,0,0,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
26,59,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,361,0,0,0,1
27,39,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
28,54,0,2,1,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,196,0,0,0,1
29,55,1,2,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,0,0,1
30,46,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,36,0,0,0,1
31,59,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,361,0,0,0,1
32,49,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,81,0,1,0,1
33,54,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,196,0,0,0,1
34,54,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,196,0,1,0,1
35,55,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,0,0,1
36,34,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,36,0,1,0,1
37,52,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,144,0,0,0,1
38,41,1,2,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
39,56,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,256,0,0,0,1
40,58,1,2,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,324,0,0,0,1
41,32,1,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,64,0,1,0,1
42,38,0,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,0,0,1
43,57,1,2,0,0,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,289,0,0,0,1
44,44,1,2,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,0,0,1
45,42,0,1,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,0,0,1
46,57,1,2,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,289,0,0,0,1
47,40,1,0,0,0,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,0,0,1,0,1
48,35,1,2,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
49,45,1,0,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,25,0,1,0,1
50,54,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,196,0,0,0,1
51,39,1,0,0,0,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
52,60,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,400,0,0,0,1
53,53,0,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,169,0,0,0,1
54,55,1,0,1,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,225,0,1,0,1
55,55,1,1,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,0,0,1
56,50,1,2,1,0,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,100,0,0,0,1
57,45,1,1,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,1,0,1
58,55,1,1,1,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,0,0,1
59,25,0,2,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,0,0,1
60,47,1,2,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,49,0,1,0,1
61,51,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,121,0,1,0,1
62,42,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,1,0,1
63,42,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,1,0,1
64,48,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,64,0,0,0,1
65,37,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
66,44,0,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,1,0,1
67,33,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,49,0,0,0,1
68,56,1,0,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,256,0,0,0,1
69,44,0,0,1,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,1,0,1
70,41,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
71,44,1,2,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,0,0,1
72,47,1,2,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,49,0,0,0,1
73,57,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,289,0,0,0,1
74,37,1,2,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
75,41,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,1,0,1,0,1,0,1
76,55,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,0,0,1
77,33,1,1,1,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,49,0,1,0,1
78,55,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,0,0,1
79,42,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,1,0,1
80,50,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,100,0,1,0,1
81,51,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,121,0,1,0,1
82,38,1,1,1,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,4,0,0,0,1
83,49,1,2,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,1,0,81,0,1,0,1
84,38,0,2,0,0,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,0,0,1
85,31,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,81,0,0,0,1
86,41,1,0,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
87,39,1,2,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
88,49,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,1,0,81,0,0,0,1
89,34,1,1,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,36,0,0,0,1
90,35,1,2,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
91,57,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,289,0,0,0,1
92,60,1,0,1,0,1,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,400,0,0,0,1
93,33,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,49,0,0,0,1
94,42,1,0,0,0,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,1,0,1
95,45,1,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,1,0,1
96,42,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,0,0,1
97,53,1,2,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,169,0,0,0,1
98,37,0,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
99,44,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,1,0,1
100,54,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,196,0,1,0,1
101,49,1,0,0,0,0,1,9.52995706295831,3,0,0,0,1.1,93.994,-36.4,0,0,81,0,1,0,1
102,54,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,196,0,1,0,1
103,52,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,144,0,0,0,1
104,52,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,144,0,0,0,1
105,43,0,1,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,1,0,1
106,34,1,0,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,36,0,0,0,1
107,35,1,1,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
108,42,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,1,0,1
109,43,1,0,1,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
110,60,1,2,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,400,0,0,1,1
111,58,1,0,1,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,324,0,0,0,1
112,35,1,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,1,0,1
113,55,1,0,1,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,225,0,1,0,1
114,37,1,2,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
115,36,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,1,0,1
116,52,1,2,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,144,0,0,0,1
117,57,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,289,0,1,0,1
118,56,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,256,0,0,0,1
119,48,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,64,0,1,0,1
120,40,1,1,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,0,0,1,0,1
121,49,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,81,0,1,0,1
122,41,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,1,0,1
123,45,1,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
124,32,1,2,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,64,0,0,0,1
125,42,1,2,0,0,1,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,4,0,0,0,1
126,50,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,100,0,0,0,1
127,31,1,1,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,81,0,0,0,1
128,56,1,0,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,256,0,0,1,1
129,41,1,1,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,1,0,1,0,0,0,1
130,37,1,0,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,1,0,1
131,41,1,1,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
132,35,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,1,0,1
133,37,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,1,0,1
134,52,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,144,0,0,0,1
135,39,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
136,39,1,0,1,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
137,56,1,0,1,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,256,0,1,0,1
138,34,1,1,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,36,0,1,0,1
139,45,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,1,0,25,0,1,0,1
140,43,0,2,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
141,56,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,256,0,0,0,1
142,39,1,2,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
143,53,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,169,0,1,0,1
144,38,1,1,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,0,0,1
145,42,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,1,0,1
146,42,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,1,0,1
147,35,0,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
148,40,1,2,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,0,0,0,0,1
149,51,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,121,0,1,0,1
150,60,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,400,0,1,0,1
151,56,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,256,0,1,0,1
152,39,1,1,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,1,0,1
153,56,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,256,0,1,0,1
154,40,1,0,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,0,0,1,0,1
155,36,1,0,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,1,0,1
156,51,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,121,0,1,0,1
157,51,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,121,0,1,0,1
158,43,0,1,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
159,59,1,1,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,361,0,1,0,1
160,24,0,2,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,256,0,0,0,1
161,37,0,0,1,1,1,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,9,0,1,0,1
162,40,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,0,0,1,0,1
163,42,1,0,1,0,0,1,9.52995706295831,3,0,0,0,1.1,93.994,-36.4,0,0,4,0,1,0,1
164,39,1,1,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,1,0,1
165,37,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,1,0,1
166,38,1,1,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,1,0,1
167,56,1,0,1,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,256,0,0,0,1
168,40,1,0,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,0,0,1,0,1
169,54,1,2,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,196,0,0,0,1
170,43,1,1,1,0,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,1,0,1
171,36,1,1,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,1,0,1
172,45,1,2,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
173,42,0,2,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,4,0,0,0,1
174,43,1,1,0,0,0,1,9.52995706295831,3,0,0,0,1.1,93.994,-36.4,0,0,9,0,1,0,1
175,46,1,0,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,36,0,0,0,1
176,44,1,1,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,1,0,1
177,51,0,0,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,121,0,0,0,1
178,28,1,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,144,0,1,0,1
179,37,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,1,0,1
180,34,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,36,0,0,0,1
181,46,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,36,0,1,0,1
182,42,1,0,0,1,1,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,1,0,4,0,1,0,1
183,36,1,2,0,1,0,1,9.52995706295831,3,0,0,0,1.1,93.994,-36.4,0,0,16,0,0,0,1
184,54,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,196,0,1,0,1
185,57,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,289,0,0,0,1
186,51,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,121,0,0,0,1
187,54,1,1,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,196,0,0,0,1
188,49,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,81,0,1,0,1
189,34,1,2,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,36,0,0,0,1
190,41,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
191,38,0,0,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,4,0,1,0,1
192,45,1,2,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
193,42,1,2,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,4,0,0,0,1
194,34,0,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,36,0,1,0,1
195,48,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,64,0,1,0,1
196,37,1,1,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
197,34,0,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,36,0,1,0,1
198,40,1,0,1,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,0,0,0,0,1
199,43,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,1,0,1
200,33,1,1,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,49,0,1,0,1
201,32,0,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,64,0,1,0,1
202,39,1,1,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,1,0,1,0,1
203,43,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
204,44,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,1,0,1
205,35,0,2,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
206,35,0,2,1,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
207,35,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
208,36,0,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,1,0,1
209,35,0,2,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
210,36,0,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,0,0,1
211,55,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,0,0,1
212,59,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,361,0,0,0,1
213,57,1,0,1,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,289,0,0,1,1
214,39,1,1,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,1,0,1
215,39,1,0,1,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
216,30,0,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,100,0,1,0,1
217,30,0,0,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,100,0,1,0,1
218,50,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,100,0,0,0,1
219,40,1,1,0,0,0,1,9.52995706295831,3,0,0,0,1.1,93.994,-36.4,0,0,0,0,1,0,1
220,35,1,1,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
221,43,1,0,1,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
222,36,0,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,16,0,1,0,1
223,46,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,36,0,0,0,1
224,40,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,0,0,0,0,1
225,58,1,2,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,324,0,0,1,1
226,42,1,2,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,4,0,0,0,1
227,35,0,2,0,0,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,25,0,0,0,1
228,43,1,0,1,0,0,1,9.52995706295831,3,0,0,0,1.1,93.994,-36.4,0,0,9,0,0,0,1
229,45,1,0,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,1,0,1
230,39,1,1,0,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
231,50,1,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,100,0,1,0,1
232,32,1,0,1,1,0,1,9.52995706295831,2,0,0,0,1.1,93.994,-36.4,0,0,64,0,0,0,1
233,39,1,1,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
